Cuenta,,Reason Code,Ajuste,Tipo de Ajuste,Monto,,Ciclo,,,,,,,Comentario,Monto completo
1100684025,,AC_AJCRASE,CR,1,0,,20200424,,,,,,,Ajuste de credito productivo,0.00585
1100716042,,AC_AJCRASE,CR,1,0,,20200424,,,,,,,Ajuste de credito productivo,0.00832
1100717047,,AC_AJCRASE,CR,1,0,,20200424,,,,,,,Ajuste de credito productivo,0.004753
1100710003,,AC_AJCRASE,CR,1,84700,,20200424,,,,,,,Ajuste de credito productivo,847
1100710003,,AC_AJCRASE,CR,1,0,,20200330,,,,,,,Ajuste de credito productivo,0.001532
1100595011,,AC_AJCRASE,CR,1,71492,,20200415,,,,,,,Ajuste de credito productivo,714.92
1100684023,,AC_AJCRASE,CR,1,0,,20200424,,,,,,,Ajuste de credito productivo,0.005245
1100599008,,AC_AJCRASE,CR,1,0,,20200424,,,,,,,Ajuste de credito productivo,0.000372
1100676071,,AC_AJCRASE,CR,1,0,,20200424,,,,,,,Ajuste de credito productivo,0.00416
1100601009,,AC_AJCRASE,CR,1,0,,20200424,,,,,,,Ajuste de credito productivo,0.005097
1100630000,,AC_AJCRASE,CR,1,49900,,20200424,,,,,,,Ajuste de credito productivo,499
1100630000,,AC_AJCRASE,CR,1,9,,20200330,,,,,,,Ajuste de credito productivo,0.09
1100697006,,AC_AJCRASE,CR,1,22900,,20200424,,,,,,,Ajuste de credito productivo,229
1100697006,,AC_AJCRASE,CR,1,0,,20200330,,,,,,,Ajuste de credito productivo,0.001836
1100671004,,AC_AJCRASE,CR,1,0,,20200424,,,,,,,Ajuste de credito productivo,0.007103
